 Name                           Version     License                                                                                             
 requests                       2.25.1      Apache Software License                                                                             
 requests-toolbelt              0.9.1       Apache Software License                                                                             
 rfc3986                        1.4.0       Apache Software License                                                                             
 six                            1.15.0      MIT License                                                                                         
 smmap                          3.0.4       BSD License                                                                                         
 snowballstemmer                2.0.0       BSD License                                                                                         
 soupsieve                      2.1         MIT License                                                                                         
 sphinx-rtd-theme               0.4.3       MIT License                                                                                         
 sphinxcontrib-applehelp        1.0.2       BSD License                                                                                         
 sphinxcontrib-devhelp          1.0.2       BSD License                                                                                         
 sphinxcontrib-htmlhelp         1.0.3       BSD License                                                                                         
 sphinxcontrib-jsmath           1.0.1       BSD License                                                                                         
 sphinxcontrib-napoleon         0.7         BSD License                                                                                         
 sphinxcontrib-programoutput    0.16        BSD License                                                                                         
 sphinxcontrib-qthelp           1.0.3       BSD License                                                                                         
 sphinxcontrib-serializinghtml  1.1.4       BSD License                                                                                         
 tabulate                       0.8.7       MIT License                                                                                         
 text-unidecode                 1.3         Artistic License, GNU General Public License (GPL), GNU General Public License v2 or later (GPLv2+) 
 toml                           0.10.2      MIT License                                                                                         
 tornado                        6.1         Apache Software License                                                                             
 tqdm                           4.54.1      MIT License, Mozilla Public License 2.0 (MPL 2.0)                                                   
 twine                          3.2.0       Apache Software License                                                                             
 urllib3                        1.26.2      MIT License                                                                                         
 webencodings                   0.5.1       BSD License                                                                                         
 xdg                            5.0.1       ISC                                                                                                 
 xmlrunner                      1.7.7       GNU Library or Lesser General Public License (LGPL)                                                 
 yarg                           0.1.9       MIT License                                                                                         
 yaspin                         1.2.0       MIT License                                                                                         
